ObjNummer;Name;Bereich
AG3;Zurlindeninsel;A
AG19;Halbmond;A
AG19;Halbmond;B
AG21;Seematten;A
AG96;Moos;A
AG102;Feldenmoos;A
AG104;Niedermoos;A
AG120;Fischergrien;A
AG128;Eichholz-Hegnau;A
AG128;Eichholz-Hegnau;B
AG129;Schwand;A
AG129;Schwand;B
AG139;Haldengutweiher;A
AG139;Haldengutweiher;B
AG149;Auschachen;A
AG159;Lostorf;A
AG159;Lostorf;B
AG163;Burger Weiher;A
AG176;Kiesgrube Egg;A
AG176;Kiesgrube Egg;B
AG181;Mattenplätz;A
AG181;Mattenplätz;B
AG183;Weiher im Tal;A
AG183;Weiher im Tal;B
AG201;Dickhölzli;A
AG201;Dickhölzli;B
AG202;Zelgli/Höll;B
AG202;Zelgli/Höll;A
AG203;Fischbacher Moos;A
AG203;Fischbacher Moos;B
AG206;Tote Reuss;A
AG206;Tote Reuss;B
AG208;Letzi;A
AG233;Mättenfeld;A
AG254;Wolfshüsli;B
AG254;Wolfshüsli;A
AG260;Binsenweiher;B
AG260;Binsenweiher;A
AG268;Steinrüti;A
AG268;Steinrüti;B
AG276;Kohlschwärzi;A
AG279;Schümel;A
AG284;Graströchni Hard;B
AG284;Graströchni Hard;A
AG294;Rüssmatten;B
AG294;Rüssmatten;A
AG303;Birristrott;B
AG303;Birristrott;A
AG304;Ankematt;B
AG304;Ankematt;A
AG305;Heuberg;B
AG305;Heuberg;A
AG307;Tägerhau;A
AG307;Tägerhau;B
AG340;Giriz;A
AG344;Hof;A
AG344;Hof;B
AG348;Grossmoos;B
AG348;Grossmoos;A
AG349;Walisgraben;B
AG349;Walisgraben;A
AG350;Zopfmatt;B
AG350;Zopfmatt;A
AG367;Alte Reuss;A
AG367;Alte Reuss;B
AG368;Ägerten-Matteneich;A
AG368;Ägerten-Matteneich;B
AG404;Gippinger Grien;A
AG407;Sagenmülitäli;B
AG407;Sagenmülitäli;A
AG416;Talweiher;B
AG416;Talweiher;A
AG436;Äbereich;B
AG436;Äbereich;A
AG439;Burgergrube;A
AG439;Burgergrube;B
AG440;Schmulzenchopf;A
AG449;Oberschachen;B
AG449;Oberschachen;A
AG453;Birri-Weiher;A
AG453;Birri-Weiher;B
AG454;Schorengrindel;A
AG459;Unterrütiweiher;A
AG461;Sibeneichen;B
AG461;Sibeneichen;A
AG468;Breitsee;B
AG468;Breitsee;A
AG469;Wolfhöhli/Chüelespitz;A
AG469;Wolfhöhli/Chüelespitz;B
AG471;Haumättli;A
AG471;Haumättli;B
AG493;Schoren Schachen;B
AG493;Schoren Schachen;A
AG522;Torfmoos;A
AG523;Egelmoos;A
AG525;Rütermoos;B
AG525;Rütermoos;A
AG526;Löliweiher;B
AG526;Löliweiher;A
AG527;Chlosteräcker;B
AG527;Chlosteräcker;A
AG530;Hard;A
AG533;Krähhübel;A
AG534;Breiti;A
AG569;Schachen;B
AG569;Schachen;A
AG582;Looweiher/Heidenloch;A
AG582;Looweiher/Heidenloch;B
AG613;Musital;A
AG613;Musital;B
AG619;Steppberg;B
AG619;Steppberg;A
AG620;Tannenchopf;B
AG620;Tannenchopf;A
AG640;Chli Rhy;A
AG640;Chli Rhy;B
AG644;Aarschächli;A
AG644;Aarschächli;B
AG655;Stockmösli;A
AG655;Stockmösli;B
AG667;Giriz;A
AG667;Giriz;B
AG668;Schnäggenmatten;B
AG668;Schnäggenmatten;A
AG669;Heftihof;A
AG669;Heftihof;B
AG671;Stille Reuss;A
AG681;Langenmoos;B
AG681;Langenmoos;A
AG734;Töniweiher;B
AG734;Töniweiher;A
AG742;Franzosenweiher und Altes Bad;A
AG742;Franzosenweiher und Altes Bad;B
AG749;Kaltacker;A
AG749;Kaltacker;B
AG759;Wildenau;A
AG759;Wildenau;B
AG765;Ramoos;A
AG765;Ramoos;B
AG766;Ziegelmatt;B
AG766;Ziegelmatt;A
AG780;Schwarzrain;B
AG780;Schwarzrain;A
AG799;Schwarzmatt;B
AG799;Schwarzmatt;A
AG815;Rottenschwiler Moos;A
AG820;Breitmoos;B
AG820;Breitmoos;A
AG821;Hard;A
AG821;Hard;B
AG843;Umiker Schachen;A
AG881;Windischer Schachen;A
AG881;Windischer Schachen;B
AG882;Fröschegräbe;A
AG882;Fröschegräbe;B
AG910;Ägelmoos;A
AG910;Ägelmoos;B
AG925;Lochmatt;A
AG925;Lochmatt;B
AG931;Ägelsee;A
AG931;Ägelsee;B
AG941;Bärenmoosweiher;A
AG941;Bärenmoosweiher;B
AG960;Im See;A
AG960;Im See;B
AG2002;Butzenmoos;B
AG2002;Butzenmoos;A
AG2003;Bremengrien;A
AG2003;Bremengrien;B
AG2005;Folenweid;B
AG2005;Folenweid;A
AG2008;Lindimatt;A
AG2008;Lindimatt;B
AG2011;Eggimoos;A
AG2011;Eggimoos;B
AG2012;Friedgraben;B
AG2012;Friedgraben;A
AG2015;Bösimoos;A
AG2015;Bösimoos;B
AG2016;Unterzelg;B
AG2016;Unterzelg;A
AG2150;Zollester;B
AG2150;Zollester;A
AG2230;Buech/Steiacher;B
AG2230;Buech/Steiacher;A
AG2409;Dorfrüti;A
AG2419;Forenmoos;B
AG2419;Forenmoos;A
AG2725;Maiholz;B
AG2725;Maiholz;A
AG2795;Feret;B
AG2795;Feret;A
AG2933;Weihermatthau;A
AG2933;Weihermatthau;B
AG3035;Ebni;B
AG3035;Ebni;A
AG3054;Chalofe;A
AG3054;Chalofe;B
AG3431;Schlaufe;A
AG3431;Schlaufe;B
AG3432;Foort;A
AG3432;Foort;B
AG3433;Eriwis;B
AG3433;Eriwis;A
AR1;Saumweiher;A
AR1;Saumweiher;B
AR44;Grub AR/Dorfweiher;A
AR44;Grub AR/Dorfweiher;B
AR118;Wissenbachschlucht;A
BE10;Büeltigen-Weiher;B
BE10;Büeltigen-Weiher;A
BE16;Tannholz-Chatzestiel-Sibirie;A
BE20;Grube Hardern;A
BE20;Grube Hardern;B
BE47;Mumenthaler Weiher;B
BE47;Mumenthaler Weiher;A
BE49;Vogelraupfi;B
BE49;Vogelraupfi;A
BE51;Bleienbacher Torfsee und Sängeli;A
BE51;Bleienbacher Torfsee und Sängeli;B
BE57;Schmittenweiher;A
BE57;Schmittenweiher;B
BE61;Alte Kiesgrube Schwarzhäusern;B
BE61;Alte Kiesgrube Schwarzhäusern;A
BE65;Chlyrot Weiher;A
BE65;Chlyrot Weiher;B
BE71;Elfenaureservat;A
BE71;Elfenaureservat;B
BE91;Steinbruch Ostermundigen;A
BE91;Steinbruch Ostermundigen;B
BE100;Sense- und Schwarzwassergraben;B
BE100;Sense- und Schwarzwassergraben;A
BE116;Schnydere ob Eichholz;B
BE116;Schnydere ob Eichholz;A
BE120;Wehrliau Muribadparkplatz;B
BE120;Wehrliau Muribadparkplatz;A
BE121;Mettlenweiher;A
BE121;Mettlenweiher;B
BE132;Leubachbucht, Wohlensee-Nordufer;A
BE140;Lörmoos;A
BE149;Mettmoos;A
BE151;Kieswerk Schopsberg;B
BE151;Kieswerk Schopsberg;A
BE152;Widi;A
BE152;Widi;B
BE171;Tümpel b. Schulhaus;A
BE171;Tümpel b. Schulhaus;B
BE172;Kiesgrube Mettlen;A
BE174;Tümpel bei Alter Aare Meienried;B
BE174;Tümpel bei Alter Aare Meienried;A
BE181;Wengimoos;A
BE181;Wengimoos;B
BE183;Bermoos;A
BE183;Bermoos;B
BE184;Ziegelei Fischermätteli;A
BE184;Ziegelei Fischermätteli;B
BE189;Oberburger Schachen;A
BE199;Bärmatten;A
BE206;Ziegeleigrube Oberburg;A
BE223;Sessenais;B
BE223;Sessenais;A
BE237;Le Bain, Oversat;A
BE240;Tourbière de la Chaux d'Abel;A
BE254;La Marnière;B
BE254;La Marnière;A
BE262;Etang de Sagne;A
BE262;Etang de Sagne;B
BE269;Lätti Gals;B
BE269;Lätti Gals;A
BE274;Fanel;A
BE281;Leuschelzmoos;A
BE281;Leuschelzmoos;B
BE283;Inser-Weiher;B
BE283;Inser-Weiher;A
