AG3;Zurlindeninsel
AG19;Halbmond
AG19;Halbmond
AG21;Seematten
AG96;Moos
AG102;Feldenmoos
AG104;Niedermoos
AG120;Fischergrien
AG128;Eichholz-Hegnau
AG128;Eichholz-Hegnau
AG129;Schwand
AG129;Schwand
AG139;Haldengutweiher
AG139;Haldengutweiher
AG149;Auschachen
AG159;Lostorf
AG159;Lostorf
AG163;Burger Weiher
AG176;Kiesgrube Egg
AG176;Kiesgrube Egg
AG181;Mattenplätz
AG181;Mattenplätz
AG183;Weiher im Tal
AG183;Weiher im Tal
AG201;Dickhölzli
AG201;Dickhölzli
AG202;Zelgli/Höll
AG202;Zelgli/Höll
AG203;Fischbacher Moos
AG203;Fischbacher Moos
AG206;Tote Reuss
AG206;Tote Reuss
AG208;Letzi
AG233;Mättenfeld
AG254;Wolfshüsli
AG254;Wolfshüsli
AG260;Binsenweiher
AG260;Binsenweiher
AG268;Steinrüti
AG268;Steinrüti
AG276;Kohlschwärzi
AG279;Schümel
AG284;Graströchni Hard
AG284;Graströchni Hard
AG294;Rüssmatten
AG294;Rüssmatten
AG303;Birristrott
AG303;Birristrott
AG304;Ankematt
AG304;Ankematt
AG305;Heuberg
AG305;Heuberg
AG307;Tägerhau
AG307;Tägerhau
AG340;Giriz
AG344;Hof
AG344;Hof
AG348;Grossmoos
AG348;Grossmoos
AG349;Walisgraben
AG349;Walisgraben
AG350;Zopfmatt
AG350;Zopfmatt
AG367;Alte Reuss
AG367;Alte Reuss
AG368;Ägerten-Matteneich
AG368;Ägerten-Matteneich
AG404;Gippinger Grien
AG407;Sagenmülitäli
AG407;Sagenmülitäli
AG416;Talweiher
AG416;Talweiher
AG436;Äbereich
AG436;Äbereich
AG439;Burgergrube
AG439;Burgergrube
AG440;Schmulzenchopf
AG449;Oberschachen
AG449;Oberschachen
AG453;Birri-Weiher
AG453;Birri-Weiher
AG454;Schorengrindel
AG459;Unterrütiweiher
AG461;Sibeneichen
AG461;Sibeneichen
AG468;Breitsee
AG468;Breitsee
AG469;Wolfhöhli/Chüelespitz
AG469;Wolfhöhli/Chüelespitz
AG471;Haumättli
AG471;Haumättli
AG493;Schoren Schachen
AG493;Schoren Schachen
AG522;Torfmoos
AG523;Egelmoos
AG525;Rütermoos
AG525;Rütermoos
AG526;Löliweiher
AG526;Löliweiher
AG527;Chlosteräcker
AG527;Chlosteräcker
AG530;Hard
AG533;Krähhübel
AG534;Breiti
AG569;Schachen
AG569;Schachen
AG582;Looweiher/Heidenloch
AG582;Looweiher/Heidenloch
AG613;Musital
AG613;Musital
AG619;Steppberg
AG619;Steppberg
AG620;Tannenchopf
AG620;Tannenchopf
AG640;Chli Rhy
AG640;Chli Rhy
AG644;Aarschächli
AG644;Aarschächli
AG655;Stockmösli
AG655;Stockmösli
AG667;Giriz
AG667;Giriz
AG668;Schnäggenmatten
AG668;Schnäggenmatten
AG669;Heftihof
AG669;Heftihof
AG671;Stille Reuss
AG681;Langenmoos
AG681;Langenmoos
AG734;Töniweiher
AG734;Töniweiher
AG742;Franzosenweiher und Altes Bad
AG742;Franzosenweiher und Altes Bad
AG749;Kaltacker
AG749;Kaltacker
AG759;Wildenau
AG759;Wildenau
AG765;Ramoos
AG765;Ramoos
AG766;Ziegelmatt
AG766;Ziegelmatt
AG780;Schwarzrain
AG780;Schwarzrain
AG799;Schwarzmatt
AG799;Schwarzmatt
AG815;Rottenschwiler Moos
AG820;Breitmoos
AG820;Breitmoos
AG821;Hard
AG821;Hard
AG843;Umiker Schachen
AG881;Windischer Schachen
AG881;Windischer Schachen
AG882;Fröschegräbe
AG882;Fröschegräbe
AG910;Ägelmoos
AG910;Ägelmoos
AG925;Lochmatt
AG925;Lochmatt
AG931;Ägelsee
AG931;Ägelsee
AG941;Bärenmoosweiher
AG941;Bärenmoosweiher
AG960;Im See
AG960;Im See
AG2002;Butzenmoos
AG2002;Butzenmoos
AG2003;Bremengrien
AG2003;Bremengrien
AG2005;Folenweid
AG2005;Folenweid
AG2008;Lindimatt
AG2008;Lindimatt
AG2011;Eggimoos
AG2011;Eggimoos
AG2012;Friedgraben
AG2012;Friedgraben
AG2015;Bösimoos
AG2015;Bösimoos
AG2016;Unterzelg
AG2016;Unterzelg
AG2150;Zollester
AG2150;Zollester
AG2230;Buech/Steiacher
AG2230;Buech/Steiacher
AG2409;Dorfrüti
AG2419;Forenmoos
AG2419;Forenmoos
AG2725;Maiholz
AG2725;Maiholz
AG2795;Feret
AG2795;Feret
AG2933;Weihermatthau
