TeilObjNum;Name
BL2020030;Nänzligenweid
BL2020029;Nänzligenweid
BL2020028;Nänzligenweid
BL2020034;Nänzligenweid
BL2020033;Nänzligenweid
BL2020031;Nänzligenweid
BL2020032;Nänzligenweid
BL2030014;Blaue Räbe
BL2030015;Blaue Räbe
BL2030017;Blauenweide
BL2030019;Blauenweide
BL2030020;Blauenweide
BL2030018;Blauenweide
BL2030016;Blauenweide
BL2030021;Blauenweide
BL2030013;Blauenweide
BL3040048;Helfenbergrütenen
BL3040049;Helfenbergrütenen
BL2030008;Rehhagweid
BL2030007;Rehhagweid
BL2030005;Rehhagweid
BL2030006;Rehhagweid
BL2030010;Wald
BL2030009;Wald
BL2020036;Dürstel
BL2030002;Mälste
BL2030003;Mälste
BL2030001;Mälste
BL2030004;Bächle
BL2030507;Bälweid
BL3010005;Bälweid
BL3010008;Bälweid
BL3010004;Bälweid
BL3010006;Bälweid
BL2030508;Bälweid
BL3010007;Bälweid
BL3010020;Hagnau
BL3010021;Hagnau
BL3050013;Arten
BL3050015;Arten
BL3050014;Arten
BL3050012;Arten
BL2020040;Vogelberg
BL2020044;Bärengraben
BL3040052;Emlis
BL3040053;Emlis
BL3040051;Emlis
BL3040054;Emlis
BL3070026;Emlis
BL2020039;Wasserfallen
BL2020037;Wasserfallen
BL2020038;Wasserfallen
BL3050009;Richtacher
BL2030011;Richtacher
BL3050025;Richtacher
BL2030012;Richtacher
BL3050010;Richtacher
BL3050024;Richtacher
BL3010024;Häxenblätz
BL3070021;Häxenblätz
BL3040011;Rüti
BL3040012;Rüti
BL3040013;Rüti
BL3040009;Rüti
BL3040008;Rüti
BL3040007;Rüti
BL3040010;Rüti
BL3040005;Rüti
BL3040004;Rüti
BL3040006;Rüti
BL3050039;Löli
BL3050038;Löli
BL3050037;Löli
BL3050036;Löli
BL3040021;Hard
BL3040022;Hard
BL3040023;Hard
BL3040024;Hard
BL3040043;Reinacherheide
BL3040045;Reinacherheide
BL3040042;Reinacherheide
BL3040044;Reinacherheide
BL3040041;Reinacherheide
BL3070022;Reinacherheide
BL3040058;Ulmet
BL3040057;Mittlere Romaiweid
BL3040056;Mittlere Romaiweid
BL2020043;Mittlere Romaiweid
BL2020042;Chliweidli
BL3070004;Chliweidli
BL2020041;Chliweidli
BL3010022;Brügglingen
BL3050019;Rumpel
BL3050020;Rumpel
BL3050021;Rumpel
BL3050016;Rumpel
BL3070008;Rumpel
BL1020002;Rumpel
BL3050017;Rumpel
BL3050018;Rumpel
BL3050022;Rumpel
BL3050023;Ried
BL2020502;Hag
BL3040037;Dittinger Weide
BL3040036;Dittinger Weide
BL3040029;Dittinger Weide
BL3040030;Dittinger Weide
BL3040033;Dittinger Weide
BL3040031;Dittinger Weide
BL3040035;Dittinger Weide
BL3040040;Dittinger Weide
BL3040032;Dittinger Weide
BL3040039;Dittinger Weide
BL3040034;Dittinger Weide
BL3040038;Dittinger Weide
BL3040001;Holingen
BL3040002;Holingen
BL3010003;Holingen
BL3010002;Holingen
BL3030002;Holingen
BL3030003;Holingen
BL3010001;Holingen
BL3040003;Horn
BL2020001;Leimet
BL3060002;Leimet
BL3050003;Leimet
BL3050004;Leimet
BL3060001;Leimet
BL3050005;Dübach
BL2020004;Fridhag
BL2020005;Fridhag
BL2020006;Fridhag
BL2020011;Erhollen
BL2020010;Erhollen
BL2020012;Erhollen
BL2020013;Erhollen
BL2020014;Hell
BL2020015;Hell
BL3070003;Hell
BL3070002;Hell
BL3070001;Hell
BL2020016;Albach
BL2020017;Albach
BL2020021;Oltme
BL2020022;Oltme
BL2020024;Oltme
BL2020023;Oltme
BL2020020;Oltme
BL2020027;Liesbergweid
BL2020026;Liesbergweid
BL2020025;Liesbergweid
BL3050027;Moos
BL3050026;Moos
BL3050028;Sägemühle
BL3050029;Sägemühle
BL3050030;Sägemühle
BL2030504;Fieleten
BL2030505;Fieleten
BL2030506;Fieleten
BL3040016;Fieleten
BL3040015;Fieleten
BL3040017;Fieleten
BL3040014;Fieleten
BL3070023;Wildenstein
BL2020008;Wildenstein
BL3010009;Chilpen
BL3070024;Chilpen
BL3010010;Chilpen
BL3070009;Chilpen
BL3010012;Chilpen
BL3070011;Chilpen
BL3070010;Chilpen
BL1020001;Langenrain
BL2030501;Rain
BL2030502;Rain
BL2020101;Rain
BL2030503;Rain
BL3070005;Bogental
BL3070007;Bogental
BL3070006;Bogental
BL3070012;Hinter Geissberg
BS3010001;Wiesengriener
BS3010007;Elsässer Bahn
BS3010009;Schwarzpark
BS3010008;Elsässer Bahn
BS3010010;Brügglingen
BS3010013;Zwölf Jucharte
BS3010002;Tal
BS3010003;Tal
BL2020501;Wizleste
SG2030014;Rüti
SG2070011;Rheindamm Bendern
SG3050013;Linthdamm
SG2110005;Hinterbetlis
SG3050016;Plättli
SG3050015;Haslengaden
SG2020008;Berg
SG3050012;Grütt
SG2110004;Hinterer Josen
SG2030008;Hinterer Josen
SG3080001;Schloss
SG3020005;Eichbühl
SG2070025;Portnol
SG2070007;Verlüls
SG3050027;Capätsch
SG2090006;Ruine Wartau
SG2020004;Sonnenberg
SG3060025;Lochberg
SG3080025;Hinterspina
SG3080028;Hinterspina
SG3080029;Hinterspina
SG3080027;Hinterspina
SG3080026;Hinterspina
SG3080030;Älpeli
SG3080031;Vorderspina
SG3080032;Heiligkreuz
SG2030010;Engen
SG2030011;Engen
SG2070017;Bergweid
SG3080023;Ruine Freudenberg
SG3080008;Ruine Freudenberg
SG2030012;Ruine Freudenberg
SG3080021;Ruine Freudenberg
SG3080024;Ruine Freudenberg
SG3080003;Ruine Freudenberg
SG2060018;Tal
SG2090019;Valenserberg
SG2090031;Vättis Pardätsch
SG2090030;Vättis Pardätsch
SG2090029;Vättis Pardätsch
SG3060050;Rofanätschli
SG2100052;Rheindamm Schwetti
SG2100062;Rheindamm Trübbach
SG2130014;Rittersberg
SG2130017;Rittersberg
SG2130012;Rittersberg
SG3050025;Rittersberg
SG2130013;Rittersberg
SG2130016;Rittersberg
SG3060004;Rittersberg
SG3060006;Rittersberg
SG2130018;Rittersberg
SG3050026;Rittersberg
SG3080010;Cholholz
SG2030003;Cholholz
SG3080018;Cholholz
SG3080016;Cholholz
SG3080009;Cholholz
SG3080011;Cholholz
SG2030001;Cholholz
SG3050021;Faren
SG3050019;Faren
SG3050022;Faren
SG3050020;Faren
SG3050018;Faren
SG2130011;Buechlet
SG2130010;Buechlet
SG2130007;Buechlet
SG2130006;Buechlet
SG2130009;Buechlet
SG2030007;Schilt
SG2030006;Schilt
SG2090218;Landig
SG2090219;Landig
SG3050024;Landig
SG2090010;Major
SG2090014;Major
SG2090011;Major
SG3020004;Major
SG2090013;Major
SG2020001;Danggabünt
SG2020002;Danggabünt
SG2060006;Plattis-Chopf
SG2060005;Plattis-Chopf
SG2060004;Malin
SG2060002;Malin
SG2060003;Malin
SG2080017;Grüt
SG2080003;Grüt
SG2080013;Grüt
SG2080002;Grüt
SG2080014;Grüt
SG2080004;Grüt
SG2080016;Grüt
SG2080006;Grüt
SG2080008;Grüt
SG2080007;Grüt
SG2080005;Grüt
SG2080015;Grüt
SG2020024;Rollibach
SG3060016;Saxerberg
SG3060017;Saxerberg
SG3060001;Langhalde
SG3060009;Langhalde
SG3060008;Langhalde
SG2120003;Langhalde
SG3060013;Langhalde
SG3060011;Langhalde
SG3060012;Langhalde
SG3060010;Langhalde
SG2120001;Langhalde
SG2030015;Langhalde
SG3060007;Langhalde
SG3060018;Goodenberg
SG3060024;Goodenberg
SG3060019;Goodenberg
SG2070031;Rheindamm Ruggell
SG2070021;Chrüzboden
SG2070020;Chrüzboden
SG2070023;Chrüzboden
SG2070022;Chrüzboden
SG2090025;Valenserberg Gletti
SG2090023;Valenserberg Gletti
SG3060047;Egg
SG3060048;Egg
SG2020017;Planggen
SG2110024;Planggen
SG2020015;Planggen
SG3050030;Planggen
SG3050029;Planggen
SG2020018;Planggen
SG2020019;Planggen
SG2110022;Planggen
SG2020020;Planggen
SG2020023;Planggen
SG2020022;Planggen
SG2110023;Planggen
SG2020021;Planggen
SG2020016;Planggen
SG2110021;Guger
SG2110020;Guger
SG2070012;Rheindamm Sennwald
SG2070014;Rheindamm Sennwald
SG2070032;Rheindamm Rheinau
SG2100016;Rheindamm Rheinau
SG2100007;Rheindamm Burgerau
SG2100011;Rheindamm Burgerau
