Gemeindename;20-64 Jahre
Aeugst am Albis;62.5
Affoltern am Albis;61.4
Bonstetten;60.4
Hausen am Albis;60.1
Hedingen;61.6
Kappel am Albis;60.7
Knonau;61.3
Maschwanden;59.1
Mettmenstetten;59.9
Obfelden;60.2
Ottenbach;59.6
Rifferswil;56.3
Stallikon;62.9
Wettswil am Albis;56.9
Adlikon;62.0
Benken (ZH);64.3
Berg am Irchel;60.8
Buch am Irchel;61.7
Dachsen;58.4
Dorf;63.0
Feuerthalen;62.9
Flaach;61.9
Flurlingen;60.9
Andelfingen;58.0
Henggart;57.2
Humlikon;54.7
Kleinandelfingen;60.9
Laufen-Uhwiesen;58.6
Marthalen;62.5
Ossingen;60.9
Rheinau;63.0
Thalheim an der Thur;60.5
Trüllikon;57.5
Truttikon;58.4
Volken;61.1
Bachenbülach;58.8
Bassersdorf;63.1
Bülach;62.4
Dietlikon;59.9
Eglisau;61.0
Embrach;62.5
Freienstein-Teufen;62.5
Glattfelden;64.3
Hochfelden;60.7
Höri;65.0
Hüntwangen;60.5
Kloten;65.0
Lufingen;65.6
Nürensdorf;60.3
Oberembrach;64.4
Opfikon;68.3
Rafz;62.0
Rorbas;64.0
Wallisellen;64.3
Wasterkingen;61.0
Wil (ZH);59.9
Winkel;64.2
Bachs;60.2
Boppelsen;57.6
Buchs (ZH);65.9
Dällikon;63.2
Dänikon;65.8
Dielsdorf;63.3
Hüttikon;61.1
Neerach;64.9
Niederglatt;64.3
Niederhasli;62.5
Niederweningen;62.8
Oberglatt;66.3
Oberweningen;64.3
Otelfingen;60.8
Regensberg;60.3
Regensdorf;62.8
Rümlang;64.7
Schleinikon;66.7
Schöfflisdorf;60.4
Stadel;62.1
Steinmaur;62.8
Weiach;69.1
Bäretswil;59.3
Bubikon;58.5
Dürnten;61.2
Fischenthal;61.5
Gossau (ZH);60.0
Grüningen;61.3
Hinwil;61.0
Rüti (ZH);61.8
Seegräben;63.4
Wald (ZH);62.3
Wetzikon (ZH);62.9
Adliswil;61.3
Kilchberg (ZH);60.5
Langnau am Albis;57.4
Oberrieden;57.0
Richterswil;59.8
Rüschlikon;59.4
Thalwil;61.3
Erlenbach (ZH);58.9
Herrliberg;57.6
Hombrechtikon;59.0
Küsnacht (ZH);56.5
Männedorf;57.9
Meilen;58.2
Oetwil am See;63.9
Stäfa;58.2
Uetikon am See;59.2
Zumikon;53.1
Zollikon;56.5
Fehraltorf;62.0
Hittnau;62.8
Lindau;61.9
Pfäffikon;60.2
Russikon;58.3
Weisslingen;58.4
Wila;62.9
Wildberg;61.2
Dübendorf;64.8
Egg;58.9
Fällanden;59.5
Greifensee;57.3
Maur;58.5
Mönchaltorf;56.4
Schwerzenbach;62.5
Uster;62.4
Volketswil;62.0
Wangen-Brüttisellen;64.7
Altikon;61.4
Brütten;60.4
Dägerlen;62.5
Dättlikon;59.1
Dinhard;56.9
Ellikon an der Thur;60.1
Elsau;60.4
Hagenbuch;66.0
Hettlingen;58.3
Neftenbach;60.9
Pfungen;64.2
Rickenbach (ZH);58.0
Schlatt (ZH);56.7
Seuzach;59.2
Turbenthal;60.6
Winterthur;64.0
Zell (ZH);60.4
Aesch (ZH);58.1
Birmensdorf (ZH);59.7
Dietikon;64.0
Geroldswil;58.5
Oberengstringen;60.9
Oetwil an der Limmat;62.1
Schlieren;67.1
Uitikon;57.2
Unterengstringen;61.3
Urdorf;59.9
Weiningen (ZH);64.8
Zürich;67.6
Stammheim;58.7
Wädenswil;60.1
Elgg;60.4
Horgen;60.4
Illnau-Effretikon;60.3
Bauma;62.9
Wiesendangen;58.5
Aarberg;60.6
Bargen (BE);61.1
Grossaffoltern;60.6
Kallnach;61.8
Kappelen;62.0
Lyss;62.8
Meikirch;58.3
Radelfingen;64.8
Rapperswil (BE);62.6
Schüpfen;63.3
Seedorf (BE);61.5
Aarwangen;61.0
Auswil;62.9
Bannwil;57.7
Bleienbach;59.0
Busswil bei Melchnau;62.2
Gondiswil;55.5
Langenthal;60.4
Lotzwil;59.9
Madiswil;58.2
Melchnau;56.5
Obersteckholz;52.7
Oeschenbach;60.8
Reisiswil;61.6
Roggwil (BE);58.9
Rohrbach;58.0
Rohrbachgraben;57.2
Rütschelen;57.3
Schwarzhäusern;59.8
Thunstetten;59.9
Ursenbach;60.8
Wynau;61.2
Bern;66.1
Bolligen;52.2
Bremgarten bei Bern;55.7
Kirchlindach;58.8
Köniz;60.3
Muri bei Bern;54.6
Oberbalm;59.6
Stettlen;59.5
Vechigen;58.4
Wohlen bei Bern;54.8
Zollikofen;59.1
Ittigen;59.1
Ostermundigen;60.6
Biel/Bienne;62.2
Evilard;52.5
Arch;60.7
Büetigen;63.4
Büren an der Aare;60.1
Diessbach bei Büren;58.7
Dotzigen;59.5
Lengnau (BE);58.7
Leuzigen;58.5
Meienried;75.5
Meinisberg;56.8
Oberwil bei Büren;58.1
Pieterlen;60.6
Rüti bei Büren;61.5
Wengi;62.1
Aefligen;62.4
Alchenstorf;59.2
Bäriswil;59.6
Burgdorf;61.5
Ersigen;59.2
Hasle bei Burgdorf;60.7
Heimiswil;57.6
Hellsau;59.3
Hindelbank;60.5
Höchstetten;60.4
Kernenried;59.1
Kirchberg (BE);60.2
Koppigen;60.1
Krauchthal;62.3
Lyssach;62.6
Mötschwil;61.4
Oberburg;60.5
Rüdtligen-Alchenflüh;64.1
Rumendingen;59.7
Rüti bei Lyssach;64.5
Willadingen;56.0
Wynigen;59.1
Corgémont;57.2
Cormoret;55.6
Cortébert;61.3
Courtelary;57.2
La Ferrière;63.8
