Gemeindename;65 Jahre und mehr
Aeugst am Albis;17.9
Affoltern am Albis;17.8
Bonstetten;15.8
Hausen am Albis;17.2
Hedingen;16.0
Kappel am Albis;13.3
Knonau;14.8
Maschwanden;17.5
Mettmenstetten;17.6
Obfelden;16.7
Ottenbach;20.0
Rifferswil;16.0
Stallikon;16.3
Wettswil am Albis;19.9
Adlikon;16.7
Benken (ZH);14.5
Berg am Irchel;25.0
Buch am Irchel;13.5
Dachsen;19.4
Dorf;14.6
Feuerthalen;16.5
Flaach;16.3
Flurlingen;17.6
Andelfingen;18.5
Henggart;19.2
Humlikon;21.6
Kleinandelfingen;17.2
Laufen-Uhwiesen;21.0
Marthalen;18.3
Ossingen;17.3
Rheinau;19.2
Thalheim an der Thur;16.0
Trüllikon;22.8
Truttikon;17.2
Volken;12.0
Bachenbülach;20.2
Bassersdorf;15.5
Bülach;17.0
Dietlikon;20.0
Eglisau;16.5
Embrach;15.9
Freienstein-Teufen;17.5
Glattfelden;13.9
Hochfelden;16.4
Höri;14.6
Hüntwangen;18.4
Kloten;16.1
Lufingen;10.9
Nürensdorf;20.5
Oberembrach;18.9
Opfikon;11.9
Rafz;16.5
Rorbas;11.8
Wallisellen;16.1
Wasterkingen;18.3
Wil (ZH);20.3
Winkel;17.8
Bachs;19.9
Boppelsen;18.6
Buchs (ZH);12.7
Dällikon;16.0
Dänikon;13.2
Dielsdorf;16.7
Hüttikon;13.1
Neerach;19.5
Niederglatt;14.5
Niederhasli;15.3
Niederweningen;13.6
Oberglatt;11.2
Oberweningen;15.8
Otelfingen;16.2
Regensberg;19.4
Regensdorf;16.3
Rümlang;15.0
Schleinikon;13.9
Schöfflisdorf;19.6
Stadel;16.2
Steinmaur;17.0
Weiach;12.0
Bäretswil;19.1
Bubikon;18.9
Dürnten;16.4
Fischenthal;14.4
Gossau (ZH);18.8
Grüningen;17.4
Hinwil;19.4
Rüti (ZH);18.8
Seegräben;15.9
Wald (ZH);17.6
Wetzikon (ZH);17.1
Adliswil;18.9
Kilchberg (ZH);18.5
Langnau am Albis;21.1
Oberrieden;23.9
Richterswil;18.6
Rüschlikon;19.5
Thalwil;18.7
Erlenbach (ZH);19.4
Herrliberg;21.1
Hombrechtikon;19.8
Küsnacht (ZH);23.3
Männedorf;20.9
Meilen;21.3
Oetwil am See;14.2
Stäfa;22.8
Uetikon am See;19.5
Zumikon;25.7
Zollikon;23.0
Fehraltorf;16.0
Hittnau;14.4
Lindau;16.3
Pfäffikon;19.8
Russikon;19.7
Weisslingen;19.1
Wila;17.2
Wildberg;16.5
Dübendorf;15.8
Egg;20.9
Fällanden;18.5
Greifensee;20.6
Maur;20.7
Mönchaltorf;21.5
Schwerzenbach;17.5
Uster;17.3
Volketswil;15.9
Wangen-Brüttisellen;13.7
Altikon;18.3
Brütten;20.1
Dägerlen;13.8
Dättlikon;16.1
Dinhard;20.4
Ellikon an der Thur;16.6
Elsau;17.3
Hagenbuch;13.9
Hettlingen;16.6
Neftenbach;15.6
Pfungen;13.3
Rickenbach (ZH);17.8
Schlatt (ZH);16.6
Seuzach;22.9
Turbenthal;16.8
Winterthur;16.2
Zell (ZH);17.8
Aesch (ZH);20.6
Birmensdorf (ZH);19.5
Dietikon;15.6
Geroldswil;19.3
Oberengstringen;21.1
Oetwil an der Limmat;21.7
Schlieren;13.5
Uitikon;22.5
Unterengstringen;20.1
Urdorf;19.5
Weiningen (ZH);14.9
Zürich;15.2
Stammheim;19.6
Wädenswil;20.1
Elgg;18.4
Horgen;18.7
Illnau-Effretikon;19.6
Bauma;16.5
Wiesendangen;19.7
Aarberg;20.2
Bargen (BE);18.5
Grossaffoltern;19.0
Kallnach;20.6
Kappelen;15.8
Lyss;18.1
Meikirch;24.2
Radelfingen;16.3
Rapperswil (BE);17.4
Schüpfen;17.3
Seedorf (BE);19.5
Aarwangen;18.6
Auswil;18.6
Bannwil;21.3
Bleienbach;23.8
Busswil bei Melchnau;23.4
Gondiswil;22.3
Langenthal;20.5
Lotzwil;18.6
Madiswil;21.4
Melchnau;22.1
Obersteckholz;26.2
Oeschenbach;22.1
Reisiswil;16.4
Roggwil (BE);19.6
Rohrbach;21.1
Rohrbachgraben;19.4
Rütschelen;19.7
Schwarzhäusern;19.5
Thunstetten;19.7
Ursenbach;18.2
Wynau;19.4
Bern;17.3
Bolligen;28.6
Bremgarten bei Bern;23.9
Kirchlindach;24.2
Köniz;20.3
Muri bei Bern;27.0
Oberbalm;20.1
Stettlen;20.2
Vechigen;21.9
Wohlen bei Bern;26.9
Zollikofen;21.8
Ittigen;22.2
Ostermundigen;21.0
Biel/Bienne;18.5
Evilard;23.2
Arch;19.1
Büetigen;16.9
Büren an der Aare;18.7
Diessbach bei Büren;17.0
Dotzigen;19.4
Lengnau (BE);21.9
Leuzigen;20.6
Meienried;18.9
Meinisberg;20.8
Oberwil bei Büren;18.7
Pieterlen;17.1
