Gemeindename;Rohe Scheidungsziffer
Aeugst am Albis;2.0
Affoltern am Albis;2.7
Bonstetten;1.3
Hausen am Albis;1.4
Hedingen;1.9
Kappel am Albis;1.8
Knonau;0.4
Maschwanden;4.7
Mettmenstetten;2.3
Obfelden;2.1
Ottenbach;0.4
Rifferswil;1.8
Stallikon;2.7
Wettswil am Albis;2.1
Adlikon;4.5
Benken (ZH);1.2
Berg am Irchel;0.0
Buch am Irchel;1.0
Dachsen;3.1
Dorf;3.0
Feuerthalen;1.9
Flaach;0.0
Flurlingen;0.7
Andelfingen;1.4
Henggart;2.2
Humlikon;0.0
Kleinandelfingen;1.9
Laufen-Uhwiesen;1.2
Marthalen;1.5
Ossingen;2.0
Rheinau;2.3
Thalheim an der Thur;2.2
Trüllikon;3.8
Truttikon;0.0
Volken;0.0
Bachenbülach;1.7
Bassersdorf;1.4
Bülach;2.2
Dietlikon;2.0
Eglisau;2.1
Embrach;1.5
Freienstein-Teufen;2.5
Glattfelden;2.1
Hochfelden;2.6
Höri;2.6
Hüntwangen;2.9
Kloten;3.1
Lufingen;1.7
Nürensdorf;2.1
Oberembrach;0.0
Opfikon;2.2
Rafz;2.3
Rorbas;2.1
Wallisellen;2.7
Wasterkingen;3.5
Wil (ZH);0.7
Winkel;1.6
Bachs;0.0
Boppelsen;1.5
Buchs (ZH);2.2
Dällikon;2.0
Dänikon;2.1
Dielsdorf;2.0
Hüttikon;1.1
Neerach;1.3
Niederglatt;1.2
Niederhasli;2.4
Niederweningen;2.0
Oberglatt;2.3
Oberweningen;2.8
Otelfingen;3.5
Regensberg;2.1
Regensdorf;2.5
Rümlang;2.0
Schleinikon;4.1
Schöfflisdorf;5.0
Stadel;2.2
Steinmaur;1.7
Weiach;1.9
Bäretswil;1.2
Bubikon;2.0
Dürnten;1.3
Fischenthal;2.0
Gossau (ZH);1.5
Grüningen;1.5
Hinwil;2.2
Rüti (ZH);1.9
Seegräben;1.4
Wald (ZH);2.7
Wetzikon (ZH);2.2
Adliswil;2.0
Kilchberg (ZH);1.9
Langnau am Albis;1.9
Oberrieden;1.4
Richterswil;2.5
Rüschlikon;1.6
Thalwil;2.1
Erlenbach (ZH);2.0
Herrliberg;2.9
Hombrechtikon;2.4
Küsnacht (ZH);1.8
Männedorf;1.8
Meilen;1.8
Oetwil am See;2.7
Stäfa;1.9
Uetikon am See;2.8
Zumikon;1.2
Zollikon;1.8
Fehraltorf;1.6
Hittnau;2.8
Lindau;2.2
Pfäffikon;1.8
Russikon;1.8
Weisslingen;0.9
Wila;1.5
Wildberg;0.0
Dübendorf;2.0
Egg;0.9
Fällanden;2.0
Greifensee;1.7
Maur;2.6
Mönchaltorf;1.3
Schwerzenbach;1.8
Uster;1.6
Volketswil;1.6
Wangen-Brüttisellen;0.9
Altikon;0.0
Brütten;2.5
Dägerlen;1.0
Dättlikon;0.0
Dinhard;2.6
Ellikon an der Thur;1.1
Elsau;1.9
Hagenbuch;6.4
Hettlingen;2.2
Neftenbach;2.7
Pfungen;1.6
Rickenbach (ZH);3.0
Schlatt (ZH);1.4
Seuzach;2.6
Turbenthal;2.5
Winterthur;2.0
Zell (ZH);1.9
Aesch (ZH);0.8
Birmensdorf (ZH);1.7
Dietikon;2.1
Geroldswil;2.0
Oberengstringen;3.0
Oetwil an der Limmat;2.8
Schlieren;1.5
Uitikon;1.9
Unterengstringen;2.4
Urdorf;1.9
Weiningen (ZH);2.1
Zürich;2.0
Stammheim;0.4
Wädenswil;1.5
Elgg;2.7
Horgen;1.8
Illnau-Effretikon;1.7
Bauma;1.4
Wiesendangen;1.6
Aarberg;2.2
Bargen (BE);1.0
Grossaffoltern;1.3
Kallnach;2.3
Kappelen;2.8
Lyss;1.8
Meikirch;2.0
Radelfingen;4.0
Rapperswil (BE);0.8
Schüpfen;2.4
Seedorf (BE);1.3
Aarwangen;2.0
Auswil;2.2
Bannwil;1.5
Bleienbach;1.4
Busswil bei Melchnau;10.7
Gondiswil;1.4
Langenthal;2.0
Lotzwil;3.5
Madiswil;1.8
Melchnau;2.0
Obersteckholz;0.0
Oeschenbach;0.0
Reisiswil;5.5
Roggwil (BE);1.0
Rohrbach;1.4
Rohrbachgraben;0.0
Rütschelen;0.0
Schwarzhäusern;7.8
Thunstetten;1.8
Ursenbach;1.1
Wynau;1.2
Bern;2.0
Bolligen;1.6
Bremgarten bei Bern;0.9
Kirchlindach;1.7
Köniz;2.0
Muri bei Bern;1.5
Oberbalm;0.0
Stettlen;1.6
Vechigen;1.0
Wohlen bei Bern;2.0
Zollikofen;1.9
Ittigen;2.2
Ostermundigen;2.0
Biel/Bienne;2.9
Evilard;2.3
Arch;3.9
Büetigen;1.2
Büren an der Aare;2.8
Diessbach bei Büren;1.0
Dotzigen;3.3
Lengnau (BE);2.7
Leuzigen;0.8
Meienried;0.0
Meinisberg;1.5
Oberwil bei Büren;2.4
Pieterlen;1.7
Rüti bei Büren;3.5
Wengi;1.7
Aefligen;1.8
Alchenstorf;1.7
Bäriswil;0.9
Burgdorf;2.1
Ersigen;0.5
Hasle bei Burgdorf;1.5
Heimiswil;1.2
Hellsau;4.8
Hindelbank;1.6
Höchstetten;0.0
Kernenried;1.9
Kirchberg (BE);1.2
Koppigen;1.0
Krauchthal;1.7
Lyssach;0.7
Mötschwil;7.7
Oberburg;3.1
Rüdtligen-Alchenflüh;3.7
Rumendingen;0.0
Rüti bei Lyssach;0.0
Willadingen;14.5
Wynigen;1.0
Corgémont;3.0
Cormoret;2.1
Cortébert;1.4
Courtelary;0.0
La Ferrière;1.8
Mont-Tramelan;0.0
Orvin;3.3
Renan (BE);1.1
Romont (BE);5.2
Saint-Imier;3.1
Sonceboz-Sombeval;3.1
Sonvilier;1.6
Tramelan;1.7
Villeret;1.1
Sauge;2.4
Péry-La Heutte;3.1
Brüttelen;1.7
Erlach;2.1
Finsterhennen;1.7
Gals;3.8
Gampelen;4.2
Ins;1.1
Lüscherz;1.9
Müntschemier;0.7
Siselen;0.0
Treiten;2.4
Tschugg;2.3
Vinelz;2.3
Bätterkinden;1.5
Deisswil bei Münchenbuchsee;0.0
Diemerswil;10.0
Fraubrunnen;2.0
Jegenstorf;1.9
Iffwil;0.0
Mattstetten;0.0
Moosseedorf;1.7
Münchenbuchsee;1.5
Urtenen-Schönbühl;1.6
Utzenstorf;1.4
Wiggiswil;0.0
Wiler bei Utzenstorf;1.1
Zielebach;0.0
Zuzwil (BE);0.0
Adelboden;1.5
Aeschi bei Spiez;0.9
Frutigen;1.4
Kandergrund;0.0
Kandersteg;2.3
Krattigen;2.7
Reichenbach im Kandertal;1.7
Beatenberg;5.0
Bönigen;1.2
Brienz (BE);2.3
Brienzwiler;2.0
Därligen;0.0
Grindelwald;1.1
Gsteigwiler;0.0
Gündlischwand;3.1
Habkern;1.5
Hofstetten bei Brienz;0.0
Interlaken;2.5
Iseltwald;2.3
Lauterbrunnen;2.5
Leissigen;0.0
Lütschental;9.0
Matten bei Interlaken;1.2
Niederried bei Interlaken;2.8
Oberried am Brienzersee;0.0
Ringgenberg (BE);1.9
Saxeten;0.0
Schwanden bei Brienz;0.0
Unterseen;1.9
Wilderswil;1.1
Arni (BE);1.1
Biglen;1.7
Bowil;0.7
Brenzikofen;2.0
Freimettigen;0.0
Grosshöchstetten;1.4
Häutligen;3.9
Herbligen;0.0
Kiesen;2.1
Konolfingen;1.5
Landiswil;0.0
Linden;2.3
Mirchel;0.0
Münsingen;1.4
