Gemeindename;Beschäftigte total
Aeugst am Albis;465
Affoltern am Albis;6633
Bonstetten;1020
Hausen am Albis;1126
Hedingen;1511
Kappel am Albis;322
Knonau;513
Maschwanden;165
Mettmenstetten;1606
Obfelden;1210
Ottenbach;695
Rifferswil;243
Stallikon;810
Wettswil am Albis;1217
Adlikon;145
Benken (ZH);258
Berg am Irchel;143
Buch am Irchel;195
Dachsen;384
Dorf;170
Feuerthalen;1050
Flaach;773
Flurlingen;429
Andelfingen;1449
Henggart;578
Humlikon;150
Kleinandelfingen;1034
Laufen-Uhwiesen;457
Marthalen;1123
Ossingen;401
Rheinau;496
Thalheim an der Thur;260
Trüllikon;317
Truttikon;100
Volken;106
Bachenbülach;1903
Bassersdorf;4427
Bülach;10432
Dietlikon;6157
Eglisau;1558
Embrach;3466
Freienstein-Teufen;576
Glattfelden;1031
Hochfelden;420
Höri;1209
Hüntwangen;330
Kloten;36675
Lufingen;356
Nürensdorf;1031
Oberembrach;274
Opfikon;19211
Rafz;1420
Rorbas;572
Wallisellen;19973
Wasterkingen;73
Wil (ZH);505
Winkel;924
Bachs;281
Boppelsen;269
Buchs (ZH);2338
Dällikon;2609
Dänikon;474
Dielsdorf;4055
Hüttikon;118
Neerach;659
Niederglatt;1392
Niederhasli;2239
Niederweningen;779
Oberglatt;1658
Oberweningen;284
Otelfingen;2384
Regensberg;200
Regensdorf;10558
Rümlang;6111
Schleinikon;127
Schöfflisdorf;375
Stadel;518
Steinmaur;765
Weiach;273
Bäretswil;1603
Bubikon;3273
Dürnten;1780
Fischenthal;734
Gossau (ZH);2584
Grüningen;1821
Hinwil;6958
Rüti (ZH);4756
Seegräben;560
Wald (ZH);3466
Wetzikon (ZH);13999
Adliswil;8310
Kilchberg (ZH);3987
Langnau am Albis;1485
Oberrieden;1009
Richterswil;4082
Rüschlikon;3113
Thalwil;6331
Erlenbach (ZH);2032
Herrliberg;1414
Hombrechtikon;2840
Küsnacht (ZH);6579
Männedorf;5073
Meilen;6007
Oetwil am See;2122
Stäfa;5935
Uetikon am See;1576
Zumikon;1754
Zollikon;6246
Fehraltorf;3984
Hittnau;757
Lindau;2569
Pfäffikon;5610
Russikon;1253
Weisslingen;841
Wila;634
Wildberg;238
Dübendorf;20367
Egg;2541
Fällanden;2934
Greifensee;1897
Maur;2239
Mönchaltorf;1330
Schwerzenbach;2882
Uster;16708
Volketswil;11025
Wangen-Brüttisellen;5593
Altikon;142
Brütten;357
Dägerlen;309
Dättlikon;172
Dinhard;361
Ellikon an der Thur;591
Elsau;1339
Hagenbuch;247
Hettlingen;644
Neftenbach;1583
Pfungen;1432
Rickenbach (ZH);483
Schlatt (ZH);126
Seuzach;2754
Turbenthal;1605
Winterthur;70719
Zell (ZH);1487
Aesch (ZH);344
Birmensdorf (ZH);2393
Dietikon;18100
Geroldswil;1928
Oberengstringen;1142
Oetwil an der Limmat;277
Schlieren;18139
Uitikon;991
Unterengstringen;967
Urdorf;6095
Weiningen (ZH);1450
Zürich;472396
Stammheim;1138
Wädenswil;9708
Elgg;1685
Horgen;10114
Illnau-Effretikon;6982
Bauma;1868
Wiesendangen;1417
Aarberg;2809
Bargen (BE);388
Grossaffoltern;637
Kallnach;1088
Kappelen;591
Lyss;8121
Meikirch;515
Radelfingen;254
Rapperswil (BE);933
Schüpfen;1312
Seedorf (BE);1210
Aarwangen;1618
Auswil;150
Bannwil;164
Bleienbach;640
Busswil bei Melchnau;49
Gondiswil;237
Langenthal;12541
Lotzwil;866
Madiswil;1277
Melchnau;727
Obersteckholz;89
Oeschenbach;112
Reisiswil;59
Roggwil (BE);1473
Rohrbach;520
Rohrbachgraben;144
Rütschelen;91
Schwarzhäusern;105
Thunstetten;1545
Ursenbach;422
Wynau;342
Bern;188231
Bolligen;1599
Bremgarten bei Bern;637
Kirchlindach;805
Köniz;22328
Muri bei Bern;9897
Oberbalm;305
Stettlen;653
Vechigen;1313
Wohlen bei Bern;1888
Zollikofen;7759
Ittigen;12697
Ostermundigen;7032
Biel/Bienne;40098
Evilard;345
Arch;561
Büetigen;116
Büren an der Aare;1991
Diessbach bei Büren;263
Dotzigen;756
Lengnau (BE);1633
Leuzigen;275
Meienried;16
Meinisberg;242
Oberwil bei Büren;194
Pieterlen;1244
Rüti bei Büren;554
Wengi;164
Aefligen;245
Alchenstorf;132
Bäriswil;172
Burgdorf;13453
Ersigen;531
Hasle bei Burgdorf;1175
Heimiswil;495
Hellsau;129
Hindelbank;931
Höchstetten;107
Kernenried;113
Kirchberg (BE);3048
Koppigen;890
Krauchthal;535
Lyssach;1442
Mötschwil;36
Oberburg;1211
Rüdtligen-Alchenflüh;1004
Rumendingen;141
Rüti bei Lyssach;24
Willadingen;48
Wynigen;721
Corgémont;675
Cormoret;110
Cortébert;235
Courtelary;695
La Ferrière;225
Mont-Tramelan;48
Orvin;472
Renan (BE);277
Romont (BE);34
Saint-Imier;3412
Sonceboz-Sombeval;1521
Sonvilier;314
Tramelan;2328
Villeret;924
Sauge;160
Péry-La Heutte;445
Brüttelen;303
Erlach;471
Finsterhennen;154
Gals;624
Gampelen;663
Ins;1675
Lüscherz;128
Müntschemier;1012
Siselen;247
Treiten;144
Tschugg;415
Vinelz;171
Bätterkinden;870
Deisswil bei Münchenbuchsee;199
Diemerswil;69
Fraubrunnen;1227
Jegenstorf;2140
Iffwil;153
Mattstetten;210
Moosseedorf;5118
Münchenbuchsee;5220
Urtenen-Schönbühl;3574
Utzenstorf;1829
Wiggiswil;37
Wiler bei Utzenstorf;357
Zielebach;49
Zuzwil (BE);72
Adelboden;2435
Aeschi bei Spiez;969
Frutigen;4120
Kandergrund;277
Kandersteg;706
Krattigen;264
Reichenbach im Kandertal;1410
Beatenberg;527
Bönigen;694
Brienz (BE);1562
Brienzwiler;141
Därligen;83
Grindelwald;3034
Gsteigwiler;152
Gündlischwand;108
Habkern;272
Hofstetten bei Brienz;300
Interlaken;6948
Iseltwald;110
Lauterbrunnen;2172
Leissigen;235
Lütschental;69
Matten bei Interlaken;1201
Niederried bei Interlaken;32
Oberried am Brienzersee;141
Ringgenberg (BE);711
Saxeten;34
Schwanden bei Brienz;69
Unterseen;3144
Wilderswil;1210
Arni (BE);256
Biglen;733
Bowil;390
Brenzikofen;85
Freimettigen;58
Grosshöchstetten;1694
Häutligen;82
Herbligen;167
Kiesen;388
Konolfingen;3079
Landiswil;284
Linden;546
Mirchel;138
Münsingen;6583
Niederhünigen;124
Oberdiessbach;1752
Oberthal;361
Oppligen;208
