NAME;KANTONSNUM
Scuol;18
Glarus Süd;8
Zernez;18
Surses;18
Lac Léman (VD);22
Bagnes;23
Davos;18
Bregaglia;18
Anniviers;23
Zermatt;23
Innertkirchen;2
Klosters-Serneus;18
Evolène;23
Blenio;21
Guttannen;2
Val Müstair;18
Poschiavo;18
Bergün Filisur;18
Lavizzara;21
Vals;18
Fieschertal;23
Muotathal;5
Grindelwald;2
Lumnezia;18
Orsières;23
Mesocco;18
Lauterbrunnen;2
Bellinzona;21
Obergoms;23
Arosa;18
Glarus Nord;8
Safiental;18
Cevio;21
Valsot;18
Naters;23
Silenen;4
Mels;17
S-chanf;18
Rheinwald;18
Medel (Lucmagn);18
Kandersteg;2
Tujetsch;18
Ilanz/Glion;18
Faido;21
Diemtigen;2
Goms;23
Pfäfers;17
Reichenbach im Kandertal;2
Val-de-Travers;24
Val-de-Ruz;24
Lenk;2
Saanen;2
Pontresina;18
Château-d'Oex;22
Bodensee (TG);20
Val-de-Charmey;10
Maggia;21
Saas-Almagell;23
Einsiedeln;5
Flühli;3
Hérémence;23
Escholzmatt-Marbach;3
Onsernone;21
Göschenen;4
Glarus;8
Sumvitg;18
Le Chenit;22
Wassen;4
Serravalle;21
Breil/Brigels;18
Bex;22
Airolo;21
Albula/Alvra;18
Avers;18
Nesslau;17
Wolfenschiessen;7
Kerns;6
Zürich;1
Simplon;23
Disentis/Mustér;18
Blatten;23
Bourg-Saint-Pierre;23
St. Niklaus;23
Lugano;21
Adelboden;2
Wildhaus-Alt St. Johann;17
Riviera;21
Zwischbergen;23
Nendaz;23
Giswil;6
Conthey;23
Lac de Neuchâtel (NE);24
Luzein;18
Gurtnellen;4
Unterschächen;4
Realp;4
Boltigen;2
Sarnen;6
Quinto;21
Bedretto;21
Flums;17
Ferrera;18
Engelberg;6
Quarten;17
Zweisimmen;2
Frutigen;2
Haute-Sorne;26
Savièse;23
Obersaxen Mundaun;18
Winterthur;1
Leukerbad;23
Plaffeien;10
Gambarogno;21
Binn;23
Ormont-Dessous;22
Sils im Engadin/Segl;18
Samedan;18
La Punt-Chamues-ch;18
Gsteig;2
Andermatt;4
Trub;2
Acquarossa;21
Clos du Doubs;26
Isenthal;4
Schiers;18
Ormont-Dessus;22
St. Stephan;2
Eggiwil;2
Haut-Intyamon;10
Crans-Montana;23
Ollon;22
Sumiswald;2
Erstfeld;4
Biasca;21
Rossa;18
Täsch;23
Grengiols;23
Lauenen;2
Liddes;23
Schwende;16
Sachseln;6
Rüschegg;2
Lavertezzo;21
Zuoz;18
Alpnach;6
Samnaun;18
Entlebuch;3
Zürichsee (ZH);1
La Chaux-de-Fonds;24
Sigriswil;2
Ayent;23
Jaun;10
Leuk;23
Guggisberg;2
Eschenbach (SG);17
Estavayer;10
Grabs;17
Randa;23
Salvan;23
Centovalli;21
Schwyz;5
Bürglen (UR);4
Trun;18
Arzier-Le Muids;22
Visperterminen;23
Bern;2
Wattwil;17
Habkern;2
Köniz;2
Lostallo;18
Mosnang;17
Flims;18
Samedan;18
Oberems;23
Innerthal;5
Seewis im Prättigau;18
Neckertal;17
Walenstadt;17
Rougemont;22
Churwalden;18
Brione (Verzasca);21
Arth;5
Langnau im Emmental;2
Urnäsch;15
Evionnaz;23
Brienz (BE);2
Châtel-Saint-Denis;10
Thunersee;2
Amden;17
