Gemeindename;Rohe Heiratssziffer
Aeugst am Albis;5.1
Affoltern am Albis;5.9
Bonstetten;4.0
Hausen am Albis;4.4
Hedingen;4.3
Kappel am Albis;5.4
Knonau;3.1
Maschwanden;1.6
Mettmenstetten;5.1
Obfelden;4.6
Ottenbach;5.8
Rifferswil;3.7
Stallikon;3.5
Wettswil am Albis;3.9
Adlikon;4.5
Benken (ZH);1.2
Berg am Irchel;3.5
Buch am Irchel;4.1
Dachsen;5.6
Dorf;0.0
Feuerthalen;6.1
Flaach;5.8
Flurlingen;7.0
Andelfingen;4.1
Henggart;4.0
Humlikon;0.0
Kleinandelfingen;6.3
Laufen-Uhwiesen;6.0
Marthalen;7.2
Ossingen;0.7
Rheinau;2.3
Thalheim an der Thur;4.3
Trüllikon;4.7
Truttikon;8.4
Volken;2.9
Bachenbülach;5.4
Bassersdorf;4.8
Bülach;6.5
Dietlikon;5.5
Eglisau;4.1
Embrach;4.9
Freienstein-Teufen;3.0
Glattfelden;5.5
Hochfelden;3.1
Höri;5.9
Hüntwangen;1.9
Kloten;5.2
Lufingen;3.9
Nürensdorf;3.9
Oberembrach;10.3
Opfikon;6.3
Rafz;3.4
Rorbas;3.5
Wallisellen;6.8
Wasterkingen;3.5
Wil (ZH);7.2
Winkel;4.0
Bachs;1.7
Boppelsen;4.4
Buchs (ZH);5.7
Dällikon;5.4
Dänikon;5.8
Dielsdorf;5.5
Hüttikon;4.3
Neerach;5.4
Niederglatt;6.3
Niederhasli;5.4
Niederweningen;2.3
Oberglatt;6.4
Oberweningen;1.1
Otelfingen;2.1
Regensberg;4.2
Regensdorf;5.9
Rümlang;6.6
Schleinikon;5.5
Schöfflisdorf;5.7
Stadel;4.4
Steinmaur;4.0
Weiach;4.9
Bäretswil;4.8
Bubikon;4.8
Dürnten;3.8
Fischenthal;5.2
Gossau (ZH);5.0
Grüningen;5.0
Hinwil;4.9
Rüti (ZH);3.9
Seegräben;2.1
Wald (ZH);4.8
Wetzikon (ZH);6.6
Adliswil;4.3
Kilchberg (ZH);6.9
Langnau am Albis;5.1
Oberrieden;2.6
Richterswil;5.7
Rüschlikon;5.3
Thalwil;4.7
Erlenbach (ZH);4.1
Herrliberg;4.3
Hombrechtikon;4.1
Küsnacht (ZH);5.1
Männedorf;3.9
Meilen;4.2
Oetwil am See;4.2
Stäfa;4.0
Uetikon am See;3.4
Zumikon;3.3
Zollikon;5.3
Fehraltorf;5.3
Hittnau;3.6
Lindau;4.3
Pfäffikon;3.6
Russikon;4.1
Weisslingen;2.4
Wila;4.6
Wildberg;5.0
Dübendorf;5.6
Egg;3.4
Fällanden;4.5
Greifensee;4.7
Maur;5.0
Mönchaltorf;3.5
Schwerzenbach;5.7
Uster;5.7
Volketswil;4.7
Wangen-Brüttisellen;5.2
Altikon;3.0
Brütten;3.9
Dägerlen;3.0
Dättlikon;3.8
Dinhard;5.2
Ellikon an der Thur;3.3
Elsau;6.4
Hagenbuch;9.1
Hettlingen;5.4
Neftenbach;4.3
Pfungen;6.6
Rickenbach (ZH);3.0
Schlatt (ZH);2.7
Seuzach;6.3
Turbenthal;4.9
Winterthur;6.8
Zell (ZH);6.5
Aesch (ZH);6.1
Birmensdorf (ZH);5.5
Dietikon;6.3
Geroldswil;4.2
Oberengstringen;3.9
Oetwil an der Limmat;4.5
Schlieren;6.5
Uitikon;4.0
Unterengstringen;6.1
Urdorf;4.6
Weiningen (ZH);5.9
Zürich;6.3
Stammheim;4.0
Wädenswil;5.1
Elgg;4.1
Horgen;4.4
Illnau-Effretikon;5.5
Bauma;4.1
Wiesendangen;3.9
Aarberg;3.7
Bargen (BE);4.0
Grossaffoltern;3.3
Kallnach;3.6
Kappelen;9.7
Lyss;5.1
Meikirch;2.4
Radelfingen;8.0
Rapperswil (BE);5.7
Schüpfen;5.1
Seedorf (BE);6.8
Aarwangen;4.0
Auswil;8.9
Bannwil;2.9
Bleienbach;8.6
Busswil bei Melchnau;16.1
Gondiswil;4.1
Langenthal;5.7
Lotzwil;0.8
Madiswil;3.4
Melchnau;5.2
Obersteckholz;0.0
Oeschenbach;0.0
Reisiswil;11.0
Roggwil (BE);4.0
Rohrbach;6.2
Rohrbachgraben;5.0
Rütschelen;7.1
Schwarzhäusern;7.8
Thunstetten;3.3
Ursenbach;5.5
Wynau;7.3
Bern;6.5
Bolligen;3.5
Bremgarten bei Bern;3.9
Kirchlindach;4.3
Köniz;5.3
Muri bei Bern;3.9
Oberbalm;5.7
Stettlen;5.1
Vechigen;5.3
Wohlen bei Bern;2.5
Zollikofen;4.8
Ittigen;4.8
Ostermundigen;4.8
Biel/Bienne;5.2
Evilard;2.7
Arch;3.2
Büetigen;5.8
Büren an der Aare;5.0
Diessbach bei Büren;3.0
Dotzigen;3.3
Lengnau (BE);3.1
Leuzigen;4.0
Meienried;0.0
Meinisberg;2.3
Oberwil bei Büren;3.6
Pieterlen;4.8
Rüti bei Büren;4.7
Wengi;3.3
Aefligen;7.3
Alchenstorf;1.7
Bäriswil;4.7
Burgdorf;5.3
Ersigen;3.4
Hasle bei Burgdorf;3.3
Heimiswil;3.7
Hellsau;9.6
Hindelbank;4.0
Höchstetten;3.5
Kernenried;3.7
Kirchberg (BE);6.4
Koppigen;2.4
Krauchthal;4.7
Lyssach;4.9
Mötschwil;15.3
Oberburg;2.7
Rüdtligen-Alchenflüh;3.7
Rumendingen;0.0
Rüti bei Lyssach;0.0
Willadingen;9.7
Wynigen;3.4
Corgémont;2.4
Cormoret;2.1
Cortébert;2.8
Courtelary;2.9
La Ferrière;7.4
Mont-Tramelan;8.5
Orvin;5.0
Renan (BE);4.4
Romont (BE);5.2
