Gemeindename;im 2. Sektor
Aeugst am Albis;13
Affoltern am Albis;134
Bonstetten;30
Hausen am Albis;37
Hedingen;24
Kappel am Albis;22
Knonau;14
Maschwanden;7
Mettmenstetten;55
Obfelden;70
Ottenbach;31
Rifferswil;18
Stallikon;26
Wettswil am Albis;41
Adlikon;7
Benken (ZH);11
Berg am Irchel;10
Buch am Irchel;8
Dachsen;26
Dorf;5
Feuerthalen;32
Flaach;25
Flurlingen;19
Andelfingen;36
Henggart;16
Humlikon;6
Kleinandelfingen;35
Laufen-Uhwiesen;20
Marthalen;49
Ossingen;13
Rheinau;18
Thalheim an der Thur;6
Trüllikon;15
Truttikon;5
Volken;X
Bachenbülach;47
Bassersdorf;96
Bülach;163
Dietlikon;85
Eglisau;40
Embrach;77
Freienstein-Teufen;25
Glattfelden;54
Hochfelden;22
Höri;56
Hüntwangen;15
Kloten;139
Lufingen;16
Nürensdorf;51
Oberembrach;10
Opfikon;152
Rafz;43
Rorbas;34
Wallisellen;156
Wasterkingen;X
Wil (ZH);22
Winkel;25
Bachs;7
Boppelsen;9
Buchs (ZH);53
Dällikon;79
Dänikon;26
Dielsdorf;61
Hüttikon;6
Neerach;31
Niederglatt;43
Niederhasli;85
Niederweningen;23
Oberglatt;60
Oberweningen;15
Otelfingen;51
Regensberg;X
Regensdorf;215
Rümlang;148
Schleinikon;12
Schöfflisdorf;15
Stadel;19
Steinmaur;36
Weiach;19
Bäretswil;74
Bubikon;103
Dürnten;87
Fischenthal;43
Gossau (ZH);130
Grüningen;45
Hinwil;165
Rüti (ZH);130
Seegräben;10
Wald (ZH);139
Wetzikon (ZH);313
Adliswil;125
Kilchberg (ZH);47
Langnau am Albis;52
Oberrieden;24
Richterswil;113
Rüschlikon;40
Thalwil;112
Erlenbach (ZH);35
Herrliberg;24
Hombrechtikon;90
Küsnacht (ZH);102
Männedorf;66
Meilen;87
Oetwil am See;66
Stäfa;122
Uetikon am See;47
Zumikon;41
Zollikon;59
Fehraltorf;94
Hittnau;61
Lindau;69
Pfäffikon;106
Russikon;50
Weisslingen;32
Wila;38
Wildberg;20
Dübendorf;274
Egg;87
Fällanden;74
Greifensee;29
Maur;71
Mönchaltorf;51
Schwerzenbach;46
Uster;290
Volketswil;232
Wangen-Brüttisellen;99
Altikon;9
Brütten;14
Dägerlen;11
Dättlikon;10
Dinhard;17
Ellikon an der Thur;14
Elsau;52
Hagenbuch;17
Hettlingen;17
Neftenbach;63
Pfungen;48
Rickenbach (ZH);19
Schlatt (ZH);8
Seuzach;91
Turbenthal;58
Winterthur;892
Zell (ZH);71
Aesch (ZH);7
Birmensdorf (ZH);74
Dietikon;266
Geroldswil;56
Oberengstringen;57
Oetwil an der Limmat;13
Schlieren;198
Uitikon;21
Unterengstringen;42
Urdorf;117
Weiningen (ZH);56
Zürich;2'584
Stammheim;53
Wädenswil;252
Elgg;63
Horgen;188
Illnau-Effretikon;177
Bauma;74
Wiesendangen;51
Aarberg;63
Bargen (BE);9
Grossaffoltern;39
Kallnach;30
Kappelen;25
Lyss;165
Meikirch;25
Radelfingen;18
Rapperswil (BE);44
Schüpfen;39
Seedorf (BE);40
Aarwangen;49
Auswil;5
Bannwil;10
Bleienbach;20
Busswil bei Melchnau;X
Gondiswil;11
